88,이화여자대학교,체육과학부,10m,제멀,메던,,,
89,전남대학교,체육교육과,100m,지그재그런,체조,축구,,
90,전북대학교,스포츠과학과,제멀,핸던,싯업,체전굴,,
91,전북대학교,체육교육과,체조1,체조2,배구,농구,축구,
92,제주대학교,스포츠과학과,좌전굴,턱걸이,서전트,,,
93,조선대학교,스포츠산업학과,싯업,제멀,100m,,,
93,조선대학교,체육학과,싯업,제멀,100m,,,
,중부대학교,스포츠건강관리학전공,비실기,,,,,
94,중앙대학교,생활레저스포츠,100m,메던,제멀,,,
,중앙대학교,체육교육과,비실기,,,,,
95,한남대학교,스포츠과학과,제멀,10m,,,,
96,한림대학교,체육학과,지그재그,제멀,싯업,농구골밑슛,,
97,한서대학교,경호비서학과,10m,싯업,십자런,,,
98,한서대학교,레저해양스포츠학과,20m,제멀,싯업,,,
99,한양대학교,스포츠사이언스,순환식계측,,,,,
,가천대학교,운동재활전공,비실기,,,,,
100,가천대학교,체육전공,배근력,메던,제멀,10m,,
101,가톨릭관동대학교,체육교육과,제멀,10m,배구,,,
102,강남대학교,스포츠복지학과,10m왕복,제멀,메던,,,
,건국대학교,골프산업,드라이버샷,우드샷,아이언샷,어프로치,,
103,건국대학교,스포츠건강,20m,제멀,싯업,,,
,경남대학교,스포츠과학과,비실기,,,,,
104,경성대학교,스포츠건강학부(체육학전공),z런,제멀,,,,
105,경일대학교,노인체육복지학과,z런,제멀,핸던,,,
,계명대학교,스포츠마케팅학과,비실기,,,,,
,계명대학교,실버스포츠복지학과,비실기,,,,,
106,광운대학교,스포츠융합과학과,서전트,사이드스텝,싯업,,,
107,극동대학교,사회체육학과,싯업,제멀,10m,,,
108,단국대학교,생활체육,20m,제멀,배근력,,,
108,단국대학교,스포츠경영,20m,제멀,배근력,,,
108,단국대학교,운동처방재활,20m,제멀,배근력,,,
109,단국대학교,체육교육,10m,높이뛰기,좌전굴,배구,,
,대구대학교,체육학과,비실기,,,,,
110,대전대학교,생활체육학과,제멀,20m,,,,
111,대진대학교,스포츠건강과학과,제멀,좌전굴,10m,,,
,동명대학교,스포츠재활학과,,,,,,
